cmt,rate,genre,idmovie,iduser 
Tôi đã hồi hộp từ đầu đến cuối phim,5,1,15,38
Những màn rượt đuổi trong phim thật sự gay cấn,4,1,7,23
Tôi thích cách phim khám phá nhân vật chính qua các pha hành động,4,1,7,35
Phim có nhiều cảnh quay hành động ở các địa điểm đẹp mắt,5,1,7,50
Những pha hành động trong phim đã được thực hiện một cách chuyên nghiệp,5,1,6,38
Cảnh rượt đuổi trong phim thật sự hồi hộp và gay cấn,4,1,6,14
Các pha hành động trong phim thật sự gây ấn tượng mạnh,4,1,6,31
Phim hành động này thực sự khiến tôi ngồi trên ghế từ đầu đến cuối,5,1,6,49
Phim hành động này thực sự cho thấy sức mạnh và lòng kiên trì của nhân vật chính,5,1,5,23
Phim có nhiều cảnh quay hành động lôi cuốn và hấp dẫn,4,1,5,40
Các pha hành động trong phim đã được biên đạo một cách tinh tế và sáng tạo,3,1,5,29
Đạo diễn đã tạo ra một thế giới hành động rất thuyết phục,3,1,15,38
Phim có nhiều cảnh quay hành động sôi động và mãn nhãn,2,1,4,21
Tôi thích cách diễn viên chính thể hiện sự dũng cảm qua các pha hành động,5,1,7,8
Các hiệu ứng âm thanh trong các cảnh hành động đã được thực hiện rất tốt,5,1,4,3
Các diễn viên đã thực hiện các pha hành động một cách chuyên nghiệp và tự nhiên,3,1,4,13
Những pha hành động trong phim thật sự gây ấn tượng mạnh,4,1,3,28
"Phim có nhiều cảnh quay hành động đẹp mắt, tạo ra một không khí căng thẳng",5,1,3,6
Phim hành động này thực sự cho thấy sức mạnh của nhân vật chính,4,1,3,21
Phim có nhiều cảnh quay hành động ở các địa điểm ngoạn mục,4,1,3,5
Diễn viên chính đã thực hiện các pha hành động một cách điêu luyện,4,1,2,3
Những pha nổ và bắn súng trong phim đã được thực hiện chuyên nghiệp,5,1,2,27
Cốt truyện phim hành động này thật sự lôi cuốn và đầy bất ngờ,5,1,2,3
Các hiệu ứng đặc biệt trong phim thật ấn tượng,2,1,2,43
"Phim có nhiều pha hành động gay cấn, khiến người xem không thể rời mắt",5,1,1,5
Các màn đấu võ trong phim đã được biên đạo một cách tuyệt vời,3,1,1,50
Diễn viên chính thực sự thể hiện sự mạnh mẽ và quyết đoán,2,1,1,32
Phim có nhiều cảnh quay hành động ở các địa điểm độc đáo,4,1,4,26
Những cảnh quay hành động ở các địa điểm xa xôi đã tạo nên sự lôi cuốn của phim,4,1,8,13
Các nhân vật trong phim thật sự mạnh mẽ và quyết tâm,2,1,5,30
Hành động trong phim này thực sự đầy mạo hiểm,4,1,14,7
Âm thanh trong các pha hành động đã tạo nên không khí căng thẳng cho phim,2,1,8,29
Tôi không thể nói đủ về tài năng của đạo diễn trong việc chỉ đạo các cảnh hành động,2,1,14,23
Cảm giác khi xem phim này giống như một cuộc hành trình đầy thách thức,3,1,14,15
Phim này thực sự là một tác phẩm nghệ thuật về hành động,4,1,14,15
Các cảnh quay đẹp mắt trong phim này khiến tôi say đắm,3,1,13,39
Phim này có đội ngũ làm việc hùng hậu trong việc thiết kế hành động,2,1,13,33
"Nếu bạn thích phim hành động, bạn không nên bỏ lỡ phim này",2,1,13,8
Tôi thích cách phim này kết hợp hài hước với hành động,5,1,13,23
Tôi đã không thở khi xem cảnh đua xe trong phim này!,3,1,12,36
Các pha chiến đấu trong phim thật mãn nhãn và chân thực,4,1,12,41
Phim hành động này thực sự đỉnh cao về mức độ hồi hộp và hành động,5,1,12,39
Phim có nhiều màn đấu võ đẹp mắt,5,1,11,9
"Không thể tin nổi vào cái kết của phim, đầy sự quay đầu bất ngờ",4,1,12,42
Những pha hành động trong phim thật sự ấn tượng,2,1,11,38
Những màn rượt đuổi xe hơi trong phim thật sự ấn tượng,4,1,8,9
Cảnh quay hành động trong phim rất chân thực,3,1,11,28
Những màn biểu diễn võ thuật trong phim đã được biên đạo một cách tuyệt vời,4,1,9,49
Những cảnh quay hành động dưới nước trong phim thật sự ấn tượng,4,1,9,43
Diễn viên chính đã thực hiện các màn đánh nhau một cách tuyệt vời,3,1,9,9
"Cốt truyện phim hấp dẫn, không thể dự đoán được",5,1,9,4
Tôi thích cách nhân vật chính vượt qua khó khăn trong các pha hành động,3,1,8,2
Những màn rượt đuổi tốc độ cao khiến tôi không thể rời mắt,5,1,10,31
Những trận chiến trong phim thật mãn nhãn,3,1,10,36
Tôi thích cách diễn viên chính chiến đấu với kẻ xấu,3,1,10,2
Tôi thích cách diễn viên chính sử dụng các loại vũ khí,5,1,11,46
Phim có nhiều pha hành động nghẹt thở,2,1,10,13
Nó thể hiện sự kỳ quái của cuộc sống và tồn tại.,2,1,24,9
Phim kết hợp giữa kinh dị và tâm lý một cách tuyệt vời.,3,1,5,33
Nó đã khiến tôi phải tận hưởng từng khoảnh khắc đáng sợ.,2,1,25,5
Những tình tiết bí ẩn tạo ra một trải nghiệm khó quên.,5,1,29,38
Tôi đã cảm thấy đánh đố và kích thích suốt phim.,4,1,29,18
Tôi đã xem phim này và cảm nhận một cảm giác xa xôi.,3,1,1,34
Phim này thể hiện rõ sự xuyên suốt của ác trong cuộc sống.,2,1,22,23
Nó thực sự đưa tôi vào thế giới của nhân vật.,4,1,21,13
Phim này đã đánh thức tôi và tạo ra nhiều thảo luận.,2,1,7,48
Những tình tiết không rõ ràng đã làm tôi nghiên cứu thêm.,5,1,9,19
Cốt truyện phức tạp đã khiến tôi tóm tắt nhiều lần.,5,1,20,15
Những bí ẩn của phim đã khiến tôi tò mò đến điên đảo.,4,1,7,26
Nó đã thay đổi cách tôi nhìn nhận thế giới xung quanh.,4,1,28,9
Nó đã tạo nên một bầu không khí kỳ quái và bí ẩn.,2,1,26,19
Nó thực sự là một tác phẩm điện ảnh độc đáo.,4,1,17,48
Phim này là một thách thức tư duy và tâm trí.,2,1,24,36
Nó đã khiến tôi cảm thấy rằng cuộc sống là một cuộc hành trình.,2,1,29,5
Tôi đã cảm nhận được sự kỳ diệu của thế giới siêu nhiên.,4,1,16,33
Tôi đã nhận thấy sự kỳ quái ẩn sau cuộc sống hàng ngày.,5,1,9,36
Phim này khiến tôi tin rằng có nhiều điều ẩn sau vũ trụ.,4,1,28,46
Nó đã tạo nên một bầu không khí kỳ bí và đáng sợ.,3,1,12,26
Cốt truyện phức tạp đã làm tôi mất ngủ suốt đêm.,2,1,13,15
Phim này là một tác phẩm nghệ thuật đẹp và kỳ quái.,5,1,9,43
Tôi đã cảm nhận được sự tận thế trong câu chuyện.,5,1,8,48
Phim này là một hành trình sâu xa vào tâm hồn con người.,2,1,12,9
Phim này đã làm tôi nhận thức sâu xa về tình dục.,4,1,25,15
Cốt truyện phức tạp đã làm tôi đặt ra nhiều câu hỏi.,3,1,20,43
Tôi đã có những thảo luận sâu sắc về phim sau khi xem.,4,1,16,37
Phim này tạo nên một không khí đáng sợ từ đầu đến cuối.,2,1,2,4
Tôi không thể tưởng tượng mình trong tình huống như nhân vật.,4,1,3,43
Mọi thứ trong phim đều tạo ra một không khí u ám.,2,1,3,11
Những hiệu ứng đặc biệt trong phim đáng sợ.,4,1,14,37
Diễn viên chính thể hiện rất tốt sự sợ hãi.,4,1,16,44
Thiết kế âm thanh trong phim tạo ra hiệu ứng kinh dị.,2,1,5,22
Tôi đã nhảy lên khỏi ghế nhiều lần trong suốt phim.,5,1,8,43
Phim này có một không gian rùng rợn và tăm tối.,2,1,14,7
Kết thúc của phim thực sự làm tôi sốc.,3,1,18,24
Phim này thật sự đáng để xem vào buổi tối với đèn tắt.,5,1,10,18
Nó thể hiện rõ sự đen tối và kỳ quái của thể loại kinh dị.,3,1,27,2
Tôi thật sự cảm thấy lo lắng sau khi xem xong phim.,5,1,28,38
Tôi không dám nhìn vào màn hình trong những phút đầu của phim.,2,1,26,19
Diễn viên đã thể hiện xuất sắc sự kinh dị của tác phẩm.,5,1,12,40
Kịch bản phim rất đáng sợ và gây ám ảnh.,3,1,7,29
Bộ phim này thực sự khiến tôi kinh sợ suốt cả đêm.,5,1,12,43
Tôi không dám nhìn vào gương sau khi xem xong phim.,2,1,28,18
Tôi đã nghiện xem phim kinh dị sau khi xem xong.,2,1,16,20
Bất ngờ và kịch tính là điểm mạnh của phim.,3,1,19,17
"Không chỉ là một bộ phim kinh dị, nó còn là một trải nghiệm tinh thần.",2,1,8,5
Tôi đã cảm nhận được sự ám ảnh của tâm hồn con người.,2,1,19,35
Nó tạo ra một cảm giác của sự hiểm nghèo không thể tránh khỏi.,5,1,15,6
Tôi đã thấu hiểu hơn về sự lo lắng của nhân vật chính.,3,1,6,6
"Tôi đã trải qua nhiều cảm xúc khi xem phim này, từ sợ hãi đến kỳ quái.",2,1,7,34
"Nó không chỉ là một bộ phim kinh dị, mà còn là một tác phẩm nghệ thuật.",4,1,29,29
Cảm giác kỳ quái và lo lắng đã lan tỏa trong suốt phim.,2,1,21,37
Phim này đã tạo ra những hình ảnh đáng sợ mà tôi không thể quên.,3,1,18,39
Diễn viên phụ cũng đã đóng góp rất tốt cho câu chuyện.,2,1,19,50
Phim này thực sự đánh đố tôi với các kịch bản quay ngược.,3,1,17,38
Sự nhanh nhạy của biên kịch đã làm tôi bất ngờ nhiều lần trong phim.,3,1,22,7
Tôi đã đọc nhiều lần về phim sau khi xem xong.,3,1,21,33
Âm nhạc là một phần quan trọng trong việc tạo cảm giác kinh dị.,5,1,25,22
Phim này thể hiện sự đối mặt với quá khứ và tương lai.,3,1,19,17
Nó đã khiến tôi nhớ mãi những suy tư và cảm xúc của mình.,3,1,15,10
Tôi đã phải đặt ra nhiều câu hỏi sau khi xem phim.,5,1,3,24
Phim này là một hành trình tới sự hiểu biết và khám phá.,3,1,25,7
Tôi đã cảm thấy mình bị đánh lừa nhiều lần trong phim.,2,1,5,6
Phim hài đỉnh cao của năm.,5,1,19,18
Hãy xem phim này và bạn sẽ biết tại sao tôi yêu nó.,2,1,9,17
Hãy xem và bạn sẽ biết tại sao tôi yêu nó.,5,1,7,1
Hãy xem và bạn sẽ không thất vọng.,4,1,21,48
Không thể nào không yêu thích tình huống hài trong phim.,2,1,15,11
Không thể nói đủ về sự hài hước của phim này.,2,1,27,34
Không thể nói đủ về sự vui vẻ của phim này.,4,1,7,50
Chắc chắn sẽ xem lại lần nữa.,5,1,20,36
Các diễn viên biểu diễn hài hước và tự nhiên.,3,1,13,45
Các diễn viên đã tạo nên những pha hài rất đặc biệt.,4,1,1,33
Các màn diễn xuất trong phim rất hài hước.,5,1,3,19
Không thể nhịn cười với phim này!,5,1,19,41
Cười đến chảy nước mắt!,4,1,15,33
Cười không ngừng!,3,1,1,15
Cười suốt từ đầu đến cuối.,4,1,28,35
Mỗi tình tiết đều mang lại tiếng cười phấn khích.,4,1,26,13
Ở đây có nhiều pha hài hước thú vị.,5,1,1,27
Phim có những tình huống hài hước độc đáo và bất ngờ.,5,1,17,26
Phim đã gây ra sự phấn khích và tiếng cười không ngừng.,4,1,1,16
Phim đã khiến tôi cười sảng khoái và hạnh phúc.,3,1,6,50
Phim đã làm tôi cười suốt thời gian xem.,4,1,19,3
Phim đáng xem nếu bạn muốn có một trái tim vui vẻ và thoải mái.,2,1,12,47
Một bộ phim đáng xem nếu bạn muốn thư giãn và cười thoải mái.,4,1,6,46
Một bộ phim đáng xem nếu bạn muốn thư giãn và cười.,2,1,21,39
Một bộ phim giải trí tuyệt vời với nhiều tình huống hài hước.,2,1,28,10
Một bộ phim hài tuyệt vời với diễn xuất xuất sắc.,3,1,9,9
Một phim hài không thể bỏ lỡ.,5,1,29,10
Một phim hài tuyệt vời với những tình huống hài hước vô cùng sáng tạo.,3,1,16,29
Một phim hài thú vị và đầy tiếng cười.,4,1,10,7
Một trải nghiệm hài hước đáng nhớ.,4,1,17,6
Một phim hài ấn tượng.,5,1,25,1
Diễn viên đã thể hiện tình cảm một cách xuất sắc.,2,1,20,3
Hãy xem và bạn sẽ biết tại sao nó lại nổi tiếng.,2,1,3,26
Không thể nào nói hết về sự đẹp của phim này.,5,1,19,15
Không thể tin được cảm xúc mà phim mang lại.,4,1,2,14
Một bộ phim tình cảm đáng yêu và ý nghĩa.,5,1,4,8
Chắc chắn sẽ xem lại.,5,1,29,31
Bộ phim này đã tạo ra một cảm giác ấm áp và độc đáo.,4,1,24,45
Bộ phim này đã thay đổi cách tôi nghĩ về tình yêu.,5,1,1,19
Bộ phim này là một bài học về tình yêu và hy vọng.,4,1,4,21
Bộ phim này là một hành trình đầy cảm xúc về tình yêu.,2,1,5,19
Bộ phim này làm cho tôi nhớ đến tình yêu của mình.,5,1,16,40
Cách phim này kể về tình yêu khiến tôi cảm thấy thật gần gũi.,5,1,21,36
Cảm xúc của nhân vật chính thực sự cuốn hút.,4,1,23,5
Câu chuyện tình yêu trong phim này sẽ làm bạn tin vào tình yêu đích thực.,2,1,10,15
Một trải nghiệm tình cảm đáng nhớ.,3,1,11,20
Phim này đặt ra nhiều câu hỏi về tình yêu và cuộc sống.,5,1,22,33
Phim này khiến tôi tin vào tình yêu đích thực.,3,1,3,7
Phim này là một tuyệt phẩm về tình yêu.,4,1,3,37
Phim này thật đặc sắc về tình yêu.,4,1,4,28
Phim này thể hiện rằng tình yêu có thể xuất phát từ những tình huống bất ngờ.,5,1,17,21
Phim tình cảm đầy cảm động và ý nghĩa.,4,1,19,16
Phim tình cảm hoàn hảo cho các đôi tình nhân.,5,1,16,26
Một trong những bộ phim tình cảm tốt nhất mà tôi từng xem.,4,1,5,2
Những cảnh tình yêu là điểm đặc biệt của bộ phim.,2,1,24,4
Những tình huống tình cảm đã tạo nên những kỷ niệm đáng nhớ.,4,1,18,8
Phim này đã chạm vào trái tim của tôi.,4,1,12,27
Phim tình cảm hoàn hảo cho ngày Valentine.,2,1,27,20
Phim tình cảm này đúng là món quà cho người yêu phim.,5,1,21,10
Phim tình cảm này đã để lại ấn tượng mạnh mẽ với tôi.,5,1,10,32
